epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
136,6.545084971874583e-06,0.1659,0.1063,93.85,95.86,31.73,1.77,"[2892, 11, 41, 14, 2843, 105, 188, 85, 4759]"
137,7.938926261462188e-06,0.1654,0.1003,93.9,96.39,31.05,1.78,"[2891, 11, 42, 14, 2850, 98, 141, 79, 4812]"
138,9.04508497187454e-06,0.1681,0.1008,93.76,96.4,31.46,1.76,"[2889, 11, 44, 12, 2869, 81, 146, 90, 4796]"
139,9.755282581475545e-06,0.1633,0.1016,94.0,96.62,31.61,1.76,"[2890, 11, 43, 12, 2891, 59, 145, 90, 4797]"
140,9.999999999999777e-06,0.1628,0.1015,93.97,96.38,30.85,1.73,"[2890, 11, 43, 12, 2867, 83, 147, 90, 4795]"
141,9.755282581475562e-06,0.1597,0.1025,94.11,96.29,30.52,1.7,"[2891, 11, 42, 14, 2856, 92, 147, 90, 4795]"
142,9.04508497187453e-06,0.1632,0.1018,93.91,96.38,30.79,1.77,"[2894, 8, 42, 14, 2852, 96, 149, 77, 4806]"
143,7.938926261462204e-06,0.1626,0.1018,93.99,96.11,31.66,1.71,"[2891, 9, 44, 14, 2841, 107, 152, 90, 4790]"
144,6.5450849718746005e-06,0.1616,0.1007,94.01,96.55,31.25,1.69,"[2894, 10, 40, 14, 2889, 59, 153, 92, 4787]"
145,4.999999999999889e-06,0.162,0.1014,94.01,96.52,31.61,1.74,"[2891, 11, 42, 12, 2893, 57, 152, 97, 4783]"
146,3.4549150281252114e-06,0.1686,0.1033,93.72,96.0,31.51,1.78,"[2893, 11, 40, 14, 2858, 90, 186, 87, 4759]"
147,2.061073738537574e-06,0.1589,0.1,94.22,96.55,30.95,1.76,"[2894, 10, 40, 12, 2882, 68, 145, 93, 4794]"
148,9.54915028125247e-07,0.158,0.101,94.06,96.63,31.72,1.67,"[2892, 10, 42, 12, 2893, 57, 146, 92, 4794]"
149,2.447174185242269e-07,0.1589,0.1003,94.17,96.32,30.53,1.78,"[2893, 10, 41, 12, 2858, 92, 147, 92, 4793]"
150,0.0,0.1613,0.1008,94.25,96.68,31.15,1.72,"[2894, 11, 39, 12, 2893, 57, 151, 83, 4798]"
151,2.447174185242324e-07,0.1589,0.0989,94.04,96.4,30.53,1.7,"[2889, 12, 43, 12, 2860, 90, 134, 93, 4805]"
152,9.54915028125279e-07,0.1614,0.099,94.13,96.47,31.48,1.71,"[2891, 11, 42, 12, 2865, 85, 143, 83, 4806]"
153,2.0610737385376807e-06,0.1587,0.1023,94.17,96.34,31.36,1.77,"[2893, 11, 40, 12, 2867, 83, 149, 96, 4787]"
154,3.4549150281253495e-06,0.1582,0.1018,94.18,96.31,31.7,1.7,"[2893, 11, 40, 14, 2856, 92, 148, 89, 4795]"
155,5.000000000000096e-06,0.156,0.1008,94.2,96.3,31.04,1.71,"[2893, 11, 40, 12, 2856, 94, 150, 88, 4794]"
156,6.545084971874878e-06,0.158,0.0997,94.2,96.34,30.0,1.77,"[2891, 8, 45, 14, 2843, 105, 140, 80, 4812]"
157,7.938926261462519e-06,0.16,0.1016,94.06,96.58,31.5,1.72,"[2890, 11, 43, 14, 2891, 57, 147, 92, 4793]"
158,9.04508497187495e-06,0.1549,0.1004,94.4,96.38,31.0,1.74,"[2891, 11, 42, 14, 2867, 81, 146, 92, 4794]"
159,9.755282581475987e-06,0.1539,0.1,94.32,96.41,30.87,1.86,"[2893, 10, 41, 14, 2869, 79, 153, 87, 4792]"
160,1.0000000000000231e-05,0.1551,0.0946,94.22,96.59,30.88,1.74,"[2890, 11, 43, 12, 2869, 81, 129, 89, 4814]"
161,9.755282581475994e-06,0.1566,0.0957,94.25,96.56,31.63,1.75,"[2892, 9, 43, 12, 2867, 83, 137, 85, 4810]"
162,9.045084971874962e-06,0.1522,0.0947,94.51,96.32,31.52,1.76,"[2884, 11, 49, 10, 2849, 103, 136, 86, 4810]"
163,7.938926261462563e-06,0.1585,0.0961,94.22,96.39,31.34,1.76,"[2891, 7, 46, 14, 2843, 105, 139, 76, 4817]"
164,6.545084971874931e-06,0.1555,0.0971,94.2,96.42,31.45,1.74,"[2890, 11, 43, 14, 2843, 105, 137, 73, 4822]"
165,5.000000000000152e-06,0.1501,0.0934,94.53,96.51,30.64,1.67,"[2886, 11, 47, 12, 2847, 103, 124, 79, 4829]"
166,3.454915028125335e-06,0.1558,0.096,94.22,96.48,31.2,1.83,"[2891, 9, 44, 12, 2847, 103, 132, 77, 4823]"
167,2.0610737385376684e-06,0.153,0.0965,94.39,96.63,31.48,1.74,"[2891, 11, 42, 12, 2871, 79, 139, 77, 4816]"
168,9.549150281252908e-07,0.151,0.0992,94.36,96.15,31.67,1.76,"[2892, 9, 43, 12, 2847, 103, 176, 69, 4787]"
169,2.4471741852423794e-07,0.1527,0.097,94.31,96.49,30.84,1.73,"[2891, 11, 42, 12, 2858, 92, 140, 79, 4813]"
170,0.0,0.1484,0.0979,94.49,96.5,31.67,1.81,"[2889, 11, 44, 12, 2869, 81, 139, 87, 4806]"
171,2.447174185242324e-07,0.1485,0.0975,94.63,96.59,31.05,1.79,"[2898, 7, 39, 12, 2867, 83, 145, 78, 4809]"
172,9.549150281252807e-07,0.1564,0.0943,94.25,96.49,31.64,1.77,"[2884, 11, 49, 10, 2849, 103, 126, 79, 4827]"
173,2.061073738537656e-06,0.1549,0.0952,94.24,96.38,31.72,1.77,"[2889, 11, 44, 12, 2847, 103, 141, 77, 4814]"
174,3.454915028125323e-06,0.1537,0.0959,94.31,96.42,30.32,1.71,"[2890, 10, 44, 12, 2847, 103, 138, 76, 4818]"
175,5.0000000000001054e-06,0.1567,0.0962,94.24,96.5,31.64,1.77,"[2894, 8, 42, 12, 2858, 92, 142, 78, 4812]"
176,6.545084971874856e-06,0.1521,0.0977,94.23,96.4,31.55,1.73,"[2892, 8, 44, 14, 2845, 103, 141, 75, 4816]"
177,7.938926261462563e-06,0.1503,0.0982,94.44,96.29,31.19,1.71,"[2896, 9, 39, 12, 2849, 101, 146, 90, 4796]"
178,9.045084971874967e-06,0.1518,0.0965,94.48,96.77,31.44,1.78,"[2893, 10, 41, 12, 2880, 70, 133, 79, 4820]"
179,9.755282581476015e-06,0.1531,0.0928,94.33,96.66,31.08,1.79,"[2892, 6, 46, 12, 2858, 92, 131, 70, 4831]"
180,1.0000000000000248e-05,0.1493,0.0955,94.5,96.52,31.54,1.75,"[2890, 11, 43, 10, 2860, 92, 130, 89, 4813]"
181,9.75528258147601e-06,0.1515,0.099,94.4,96.73,30.6,1.78,"[2898, 6, 40, 14, 2889, 59, 146, 84, 4802]"
182,9.045084971874977e-06,0.1474,0.0968,94.61,96.6,30.38,1.83,"[2892, 10, 42, 12, 2893, 57, 147, 95, 4790]"
183,7.938926261462578e-06,0.1454,0.0935,94.56,96.79,31.49,1.71,"[2892, 11, 41, 12, 2891, 59, 130, 89, 4813]"
184,6.54508497187491e-06,0.148,0.0942,94.54,96.63,30.69,1.66,"[2888, 10, 46, 14, 2867, 81, 137, 72, 4823]"
185,5.0000000000001605e-06,0.1469,0.0944,94.63,96.53,31.47,1.65,"[2890, 10, 44, 12, 2858, 92, 135, 79, 4818]"
186,3.4549150281253753e-06,0.1471,0.0917,94.57,96.55,31.8,1.78,"[2888, 11, 45, 10, 2847, 105, 124, 74, 4834]"
187,2.0610737385376727e-06,0.144,0.0933,94.78,96.98,31.49,1.78,"[2892, 11, 41, 12, 2891, 59, 126, 74, 4832]"
188,9.549150281252722e-07,0.1469,0.0933,94.72,96.83,31.56,1.68,"[2893, 11, 40, 12, 2891, 59, 129, 87, 4816]"
189,2.4471741852423884e-07,0.143,0.0938,94.72,96.88,31.17,1.75,"[2896, 11, 37, 12, 2891, 59, 126, 88, 4818]"
190,0.0,0.1465,0.0892,94.49,96.96,30.81,1.79,"[2885, 12, 47, 10, 2893, 59, 121, 77, 4834]"
